id_in_original_dataset,text,labels,txt_len,label_text
2460.0,We report here the result of a screening for germ - line mutations in the adenomatous polyposis coli ( APC ) gene in 61 new familial adenomatous polyposis ( FAP ) patients as well as a summary of the results of 150 patients .,O O O O O O O O O O O O O O O B I I O B O O O O O B I I O B O O O O O O O O O O O O O O,32.0,"We report here the result of a screening for germ - line mutations in the <span style=""background-color: #FFFF00"">adenomatous polyposis coli</span> ( <span style=""background-color: #FFFF00"">APC</span> ) gene in 61 new <span style=""background-color: #FFFF00"">familial adenomatous polyposis</span> ( <span style=""background-color: #FFFF00"">FAP</span> ) patients as well as a summary of the results of 150 patients ."
7311.0,"A common feature of these diseases is the loss of photoreceptor function , also seen in the retinal degeneration slow ( rds or Prph2 Rd2 / Rd2 ) mouse , which is homozygous for a null mutation in Prph2 .",O O O O O O O O O O O O O O O O O B I O O O O O O O O O O O O O O O O O O O O O,13.0,"A common feature of these diseases is the loss of photoreceptor function , also seen in the <span style=""background-color: #FFFF00"">retinal degeneration</span> slow ( rds or Prph2 Rd2 / Rd2 ) mouse , which is homozygous for a null mutation in Prph2 ."
10739.0,The loss of wild - type BRCA1 in tumours of individuals carrying one nonfunctional BRCA1 allele suggests that BRCA1 encodes a tumour suppressor that may inhibit the proliferation of mammary epithelial cells .,O O O O O O O O B O O O O O O O O O O O O B O O O O O O O O O O O,13.0,"The loss of wild - type BRCA1 in <span style=""background-color: #FFFF00"">tumours</span> of individuals carrying one nonfunctional BRCA1 allele suggests that BRCA1 encodes a <span style=""background-color: #FFFF00"">tumour</span> suppressor that may inhibit the proliferation of mammary epithelial cells ."
5078.0,"Additionally , hemochromatosis haplotypes possessing HLA - A11 and the low - frequency HLA - F polymorphism ( allele 2 ) are supportive of a separate founder chromosome containing a second , independently arising mutant allele .",O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,32.0,"Additionally , <span style=""background-color: #FFFF00"">hemochromatosis</span> haplotypes possessing HLA - A11 and the low - frequency HLA - F polymorphism ( allele 2 ) are supportive of a separate founder chromosome containing a second , independently arising mutant allele ."
8902.0,Isolation of molecular probes associated with the chromosome 15 instability in the Prader - Willi syndrome .,O O O O O O O O O O O O B I I I O,13.0,"Isolation of molecular probes associated with the chromosome 15 instability in the <span style=""background-color: #FFFF00"">Prader - Willi syndrome</span> ."
6184.0,Studies at the transcript and protein level are needed for a better assessment . .,O O O O O O O O O O O O O O O,13.0,Studies at the transcript and protein level are needed for a better assessment . .
12011.0,"These mutations were scattered over the entire length of PTEN , with the exception of the first , fourth and last exons .",O O O O O O O O O O O O O O O O O O O O O O O,39.0,"These mutations were scattered over the entire length of PTEN , with the exception of the first , fourth and last exons ."
1569.0,Activation of the ATM kinase by ionizing radiation and induction of ATM - dependent responses in NBS cells indicated that p95 / nbs1 may not be required for signalling to ATM after ionizing radiation .,O O O O O O O O O O O O O O O O B O O O O O O O O O O O O O O O O O O,32.0,"Activation of the ATM kinase by ionizing radiation and induction of ATM - dependent responses in <span style=""background-color: #FFFF00"">NBS</span> cells indicated that p95 / nbs1 may not be required for signalling to ATM after ionizing radiation ."
6364.0,The data were also analyzed for genotype - phenotype relationships .,O O O O O O O O O O O,13.0,The data were also analyzed for genotype - phenotype relationships .
8225.0,"Both small - sized and normal - sized platelets were present , suggesting that , unlike the vast majority of WAS carriers , she does not manifest nonrandom X - chromosome inactivation in the thrombopoietic cell lineage .",O O O O O O O O O O O O O O O O O O O O B O O O O O O O O O O O O O O O O O,13.0,"Both small - sized and normal - sized platelets were present , suggesting that , unlike the vast majority of <span style=""background-color: #FFFF00"">WAS</span> carriers , she does not manifest nonrandom X - chromosome inactivation in the thrombopoietic cell lineage ."
